Allergen,Effect
Cream Cheese,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Feta,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Brie,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Gorgonzola,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Roquefort,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Blue Cheese,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Parmesan,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Mozzarella,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Ricotta,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Mascarpone,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Goat Cheese,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Cottage Cheese,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Greek Yogurt,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Regular Yogurt,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
